Category,Individual Accounts Warned,Servers Warned,Server Members Warned
Child Safety,"1,491",347,"52,417"
Deceptive Practices,240,2,2
Exploitative and Unsolicited Content,"1,126",87,"1,324,649"
Harassment and Bullying,"3,699",261,"24,439"
Hateful Conduct,"1,421",472,"53,818"
Identity and Authenticity,23,1,2
Platform Manipulation,144,32,191
Regulated or Illegal Activities,6,17,"589,206"
Self-Harm Concerns,189,2,3
Violent and Graphic Content,"1,314",337,"42,099"
Violent Extremism,99,37,0
,,,
Total:,"9,752","1,595","2,086,826"